date,q_cms
1940-01-01,0.566336
1940-01-02,0.566336
1940-01-03,0.566336
1940-01-04,0.566336
1940-01-05,0.566336
1940-01-06,0.566336
1940-01-07,0.566336
1940-01-08,0.566336
1940-01-09,0.566336
1940-01-10,0.566336
1940-01-11,0.566336
1940-01-12,0.566336
1940-01-13,0.566336
1940-01-14,0.566336
1940-01-15,0.566336
1940-01-16,0.566336
1940-01-17,0.566336
1940-01-18,0.566336
1940-01-19,0.566336
1940-01-20,0.566336
1940-01-21,0.566336
1940-01-22,0.566336
1940-01-23,0.566336
1940-01-24,0.566336
1940-01-25,0.566336
1940-01-26,0.566336
1940-01-27,0.566336
1940-01-28,0.566336
1940-01-29,0.566336
1940-01-30,0.566336
1940-01-31,0.566336
1940-02-01,0.566336
1940-02-02,0.566336
1940-02-03,0.566336
1940-02-04,0.566336
1940-02-05,0.566336
1940-02-06,0.566336
1940-02-07,0.566336
1940-02-08,0.566336
1940-02-09,0.566336
1940-02-10,0.566336
1940-02-11,0.566336
1940-02-12,0.566336
1940-02-13,0.566336
1940-02-14,0.566336
1940-02-15,0.566336
1940-02-16,0.566336
1940-02-17,0.566336
1940-02-18,0.566336
1940-02-19,0.566336
1940-02-20,0.566336
1940-02-21,0.566336
1940-02-22,0.566336
1940-02-23,0.566336
1940-02-24,0.566336
1940-02-25,0.566336
1940-02-26,0.566336
1940-02-27,0.566336
1940-02-28,0.566336
1940-02-29,0.566336
1940-03-01,0.3964352
1940-03-02,0.3964352
1940-03-03,0.3964352
1940-03-04,0.3964352
1940-03-05,0.3964352
1940-03-06,0.3964352
1940-03-07,0.3964352
1940-03-08,0.3964352
1940-03-09,0.3964352
1940-03-10,0.3964352
1940-03-11,0.3964352
1940-03-12,0.3964352
1940-03-13,0.3964352
1940-03-14,0.3964352
1940-03-15,0.3964352
1940-03-16,0.3964352
1940-03-17,0.3964352
1940-03-18,0.3964352
1940-03-19,0.3964352
1940-03-20,0.3964352
1940-03-21,0.3964352
1940-03-22,0.3964352
1940-03-23,0.3964352
1940-03-24,0.3964352
1940-03-25,0.3964352
1940-03-26,0.3964352
1940-03-27,0.3964352
1940-03-28,0.3964352
1940-03-29,0.3964352
1940-03-30,0.3964352
1940-03-31,0.3964352
1940-04-01,0.3964352
1940-04-02,0.3964352
1940-04-03,0.3964352
1940-04-04,0.3964352
1940-04-05,0.3964352
1940-04-06,0.3964352
1940-04-07,0.3964352
1940-04-08,0.3964352
1940-04-09,0.3964352
1940-04-10,0.3964352
1940-04-11,0.3964352
1940-04-12,2.0104928
1940-04-13,2.803363
1940-04-14,2.803363
1940-04-15,2.803363
1940-04-16,1.2459393
1940-04-17,0.283168
1940-04-18,0.283168
1940-04-19,0.283168
1940-04-20,0.283168
1940-04-21,0.283168
1940-04-22,0.283168
1940-04-23,0.283168
1940-04-24,0.283168
1940-04-25,0.283168
1940-04-26,0.283168
1940-04-27,0.283168
1940-04-28,0.283168
1940-04-29,0.283168
1940-04-30,0.283168
1940-05-01,0.0
1940-05-02,0.0
1940-05-03,0.0
1940-05-04,0.0
1940-05-05,0.0
1940-05-06,0.0
1940-05-07,0.0
1940-05-08,0.0
1940-05-09,0.0
1940-05-10,0.0
1940-05-11,0.0
1940-05-12,0.0
1940-05-13,0.0
1940-05-14,0.0
1940-05-15,0.0
1940-05-16,0.0
1940-05-17,0.0
1940-05-18,0.0
1940-05-19,0.0
1940-05-20,0.0
1940-05-21,0.0
1940-05-22,0.0
1940-05-23,0.0
1940-05-24,0.0
1940-05-25,0.0
1940-05-26,0.0
1940-05-27,0.0
1940-05-28,0.0
1940-05-29,0.0
1940-05-30,0.0
1940-05-31,0.0
1940-06-01,0.0
1940-06-02,0.0
1940-06-03,0.0
1940-06-04,0.0
1940-06-05,0.0
1940-06-06,0.0
1940-06-07,0.0
1940-06-08,0.0
1940-06-09,0.0
1940-06-10,0.0
1940-06-11,0.0
1940-06-12,0.0
1940-06-13,0.0
1940-06-14,0.0
1940-06-15,0.0
1940-06-16,0.0
1940-06-17,0.0
1940-06-18,0.0
1940-06-19,0.0
1940-06-20,0.0
1940-06-21,0.0
1940-06-22,0.0
1940-06-23,0.0
1940-06-24,0.0
1940-06-25,0.0
1940-06-26,0.0
1940-06-27,0.0
1940-06-28,0.0
1940-06-29,0.0
1940-06-30,0.0
1940-07-01,0.0
1940-07-02,0.0
1940-07-03,0.0
1940-07-04,5.7199936
1940-07-05,10.901968
1940-07-06,14.045133
1940-07-07,15.432656
1940-07-08,16.140575
1940-07-09,16.848495
1940-07-10,18.40592
1940-07-11,19.142157
1940-07-12,19.142157
1940-07-13,19.142157
1940-07-14,18.689089
1940-07-15,19.312057
1940-07-16,18.85899
1940-07-17,17.414831
1940-07-18,15.149488
1940-07-19,14.583152
1940-07-20,16.99008
1940-07-21,18.85899
1940-07-22,19.312057
1940-07-23,18.40592
1940-07-24,18.547504
1940-07-25,18.547504
1940-07-26,18.689089
1940-07-27,19.000572
1940-07-28,17.981169
1940-07-29,17.414831
1940-07-30,17.273249
1940-07-31,16.423744
1940-08-01,16.706911
1940-08-02,16.848495
1940-08-03,17.273249
1940-08-04,17.556416
1940-08-05,18.122751
1940-08-06,19.312057
1940-08-07,17.839584
1940-08-08,15.998992
1940-08-09,16.706911
1940-08-10,16.99008
1940-08-11,16.28216
1940-08-12,16.706911
1940-08-13,17.556416
1940-08-14,17.839584
1940-08-15,18.689089
1940-08-16,18.689089
1940-08-17,18.264336
1940-08-18,15.998992
1940-08-19,0.5946528
1940-08-20,17.981169
1940-08-21,17.839584
1940-08-22,16.423744
1940-08-23,16.565329
1940-08-24,16.423744
1940-08-25,15.715824
1940-08-26,12.600976
1940-08-27,7.503952
1940-08-28,5.946528
1940-08-29,9.797613
1940-08-30,14.186717
1940-08-31,16.140575
1940-09-01,16.140575
1940-09-02,15.715824
1940-09-03,15.57424
1940-09-04,15.57424
1940-09-05,15.57424
1940-09-06,15.007904
1940-09-07,15.432656
1940-09-08,15.57424
1940-09-09,15.291072
1940-09-10,15.007904
1940-09-11,16.423744
1940-09-12,18.40592
1940-09-13,17.981169
1940-09-14,16.706911
1940-09-15,14.3283
1940-09-16,13.167312
1940-09-17,7.843754
1940-09-18,5.5500927
1940-09-19,4.24752
1940-09-20,2.378611
1940-09-21,2.0954432
1940-09-22,2.4352448
1940-09-23,2.3219776
1940-09-24,1.8689088
1940-09-25,1.8122752
1940-09-26,1.6706913
1940-09-27,1.6140575
1940-09-28,1.6140575
1940-09-29,1.6140575
1940-09-30,1.6140575
1940-10-01,1.7839584
1940-10-02,1.7839584
1940-10-03,1.7839584
1940-10-04,1.557424
1940-10-05,1.4724736
1940-10-06,1.4724736
1940-10-07,1.4724736
1940-10-08,1.132672
1940-10-09,1.0477216
1940-10-10,0.8778208
1940-10-11,0.6229696
1940-10-12,0.566336
1940-10-13,0.566336
1940-10-14,0.566336
1940-10-15,0.566336
1940-10-16,1.4441568
1940-10-17,0.24352448
1940-10-18,0.24352448
1940-10-19,0.24352448
1940-10-20,0.24352448
1940-10-21,0.24352448
1940-10-22,0.24352448
1940-10-23,0.24352448
1940-10-24,0.26334625
1940-10-25,0.26334625
1940-10-26,0.26334625
1940-10-27,0.26334625
1940-10-28,0.26334625
1940-10-29,0.26334625
1940-10-30,0.26334625
1940-10-31,0.26334625
1940-11-01,0.283168
1940-11-02,0.283168
1940-11-03,0.283168
1940-11-04,0.283168
1940-11-05,0.283168
1940-11-06,0.283168
1940-11-07,0.283168
1940-11-08,0.283168
1940-11-09,0.283168
1940-11-10,0.283168
1940-11-11,0.283168
1940-11-12,0.283168
1940-11-13,0.283168
1940-11-14,0.283168
1940-11-15,0.283168
1940-11-16,0.283168
1940-11-17,0.283168
1940-11-18,0.283168
1940-11-19,0.283168
1940-11-20,0.283168
1940-11-21,0.283168
1940-11-22,0.283168
1940-11-23,0.283168
1940-11-24,0.283168
1940-11-25,0.283168
1940-11-26,0.283168
1940-11-27,0.283168
1940-11-28,0.283168
1940-11-29,0.283168
1940-11-30,0.283168
1940-12-01,0.283168
1940-12-02,0.283168
1940-12-03,0.283168
1940-12-04,0.283168
1940-12-05,0.283168
1940-12-06,0.283168
1940-12-07,0.283168
1940-12-08,0.283168
1940-12-09,0.283168
1940-12-10,0.283168
1940-12-11,0.283168
1940-12-12,0.283168
1940-12-13,0.283168
1940-12-14,0.283168
1940-12-15,0.283168
1940-12-16,0.283168
1940-12-17,0.283168
1940-12-18,0.283168
1940-12-19,0.283168
1940-12-20,0.283168
1940-12-21,0.283168
1940-12-22,0.283168
1940-12-23,0.283168
1940-12-24,0.283168
1940-12-25,0.283168
1940-12-26,0.283168
1940-12-27,0.283168
1940-12-28,0.283168
1940-12-29,0.283168
1940-12-30,0.283168
1940-12-31,0.283168
1941-01-01,0.3114848
1941-01-02,0.3114848
1941-01-03,0.3114848
1941-01-04,0.3114848
1941-01-05,0.3114848
1941-01-06,0.3114848
1941-01-07,0.3114848
1941-01-08,0.3114848
1941-01-09,0.3114848
1941-01-10,0.3114848
1941-01-11,0.3114848
1941-01-12,0.3114848
1941-01-13,0.3114848
1941-01-14,0.3114848
1941-01-15,0.3114848
1941-01-16,0.3114848
1941-01-17,0.3114848
1941-01-18,0.3114848
1941-01-19,0.3114848
1941-01-20,0.3114848
1941-01-21,0.3114848
1941-01-22,0.3114848
1941-01-23,0.3114848
1941-01-24,0.3114848
1941-01-25,0.3114848
1941-01-26,0.3114848
1941-01-27,0.3114848
1941-01-28,0.3114848
1941-01-29,0.3114848
1941-01-30,0.3114848
1941-01-31,0.3114848
1941-02-01,0.3114848
1941-02-02,0.3114848
1941-02-03,0.3114848
1941-02-04,0.3114848
1941-02-05,0.3114848
1941-02-06,0.3114848
1941-02-07,0.3114848
1941-02-08,0.3114848
1941-02-09,0.3114848
1941-02-10,0.3114848
1941-02-11,0.3114848
1941-02-12,0.3114848
1941-02-13,0.3114848
1941-02-14,0.3114848
1941-02-15,0.3114848
1941-02-16,0.3114848
1941-02-17,0.3114848
1941-02-18,0.3114848
1941-02-19,0.3114848
1941-02-20,0.3114848
1941-02-21,0.3114848
1941-02-22,0.3114848
1941-02-23,0.3114848
1941-02-24,0.3114848
1941-02-25,0.3114848
1941-02-26,0.3114848
1941-02-27,0.3114848
1941-02-28,0.3114848
1941-03-01,0.3398016
1941-03-02,0.3398016
1941-03-03,0.3398016
1941-03-04,0.3398016
1941-03-05,0.3398016
1941-03-06,0.3398016
1941-03-07,0.3398016
1941-03-08,0.3398016
1941-03-09,0.3398016
1941-03-10,0.3398016
1941-03-11,0.3398016
1941-03-12,0.3398016
1941-03-13,0.3398016
1941-03-14,0.3398016
1941-03-15,0.3398016
1941-03-16,0.3398016
1941-03-17,0.3398016
1941-03-18,0.3398016
1941-03-19,0.3398016
1941-03-20,0.3398016
1941-03-21,0.3398016
1941-03-22,0.3398016
1941-03-23,0.3398016
