date,q_cms
1923-04-07,577.6627
1923-04-08,518.19745
1923-04-09,481.3856
1923-04-10,447.40543
1923-04-11,447.40543
1923-04-12,501.20737
1923-04-13,538.0192
1923-04-14,538.0192
1923-04-15,526.6925
1923-04-16,538.0192
1923-04-17,597.4845
1923-04-18,654.1181
1923-04-19,702.25665
1923-04-20,702.25665
1923-04-21,724.9101
1923-04-22,804.19714
1923-04-23,869.32574
1923-04-24,883.48413
1923-04-25,908.9693
1923-04-26,841.009
1923-04-27,739.0685
1923-04-28,654.1181
1923-04-29,608.8112
1923-04-30,588.98944
1923-05-01,605.9795
1923-05-02,637.128
1923-05-03,744.7318
1923-05-04,860.83075
1923-05-05,897.6426
1923-05-06,1002.41473
1923-05-07,1158.1571
1923-05-08,1339.3846
1923-05-09,1435.6617
1923-05-10,1599.8992
1923-05-11,1667.8595
1923-05-12,1806.6118
1923-05-13,1908.5524
1923-05-14,2024.6512
1923-05-15,2010.4928
1923-05-16,1959.5226
1923-05-17,1789.6217
1923-05-18,1616.8893
1923-05-19,1548.929
1923-05-20,1565.9191
1923-05-21,1616.8893
1923-05-22,1721.6615
1923-05-23,1908.5524
1923-05-24,2058.6313
1923-05-25,2075.6213
1923-05-26,1993.5027
1923-05-27,2041.6412
1923-05-28,2140.75
1923-05-29,2418.2546
1923-05-30,2636.2942
1923-05-31,2724.0762
1923-06-01,2667.4426
1923-06-02,2568.3337
1923-06-03,2537.1853
1923-06-04,2486.215
1923-06-05,2421.0864
1923-06-06,2438.0764
1923-06-07,2421.0864
1923-06-08,2273.839
1923-06-09,2126.5918
1923-06-10,2092.6116
1923-06-11,2027.4829
1923-06-12,1993.5027
1923-06-13,1979.3444
1923-06-14,2061.4631
1923-06-15,2191.7202
1923-06-16,2321.9775
1923-06-17,2421.0864
1923-06-18,2486.215
1923-06-19,2486.215
1923-06-20,2389.938
1923-06-21,2256.8489
1923-06-22,2109.6016
1923-06-23,1993.5027
1923-06-24,1911.384
1923-06-25,1829.2653
1923-06-26,1732.9882
1923-06-27,1682.018
1923-06-28,1699.008
1923-06-29,1732.9882
1923-06-30,1764.1366
1923-07-01,1665.0278
1923-07-02,1568.7507
1923-07-03,1469.642
1923-07-04,1404.5133
1923-07-05,1336.553
1923-07-06,1240.2759
1923-07-07,1160.9888
1923-07-08,1143.9988
1923-07-09,1115.6819
1923-07-10,1143.9988
1923-07-11,1192.1373
1923-07-12,1192.1373
1923-07-13,1160.9888
1923-07-14,1143.9988
1923-07-15,1098.6919
1923-07-16,1081.7018
1923-07-17,1115.6819
1923-07-18,1008.07806
1923-07-19,1008.07806
1923-07-20,965.6029
1923-07-21,908.9693
1923-07-22,894.81085
1923-07-23,883.48413
1923-07-24,965.6029
1923-07-25,894.81085
1923-07-26,804.19714
1923-07-27,764.5536
1923-07-28,724.9101
1923-07-29,690.92993
1923-07-30,679.6032
1923-07-31,753.22687
1923-08-01,713.5834
1923-08-02,642.7914
1923-08-03,642.7914
1923-08-04,608.8112
1923-08-05,588.98944
1923-08-06,588.98944
1923-08-07,577.6627
1923-08-08,538.0192
1923-08-09,501.20737
1923-08-10,464.3955
1923-08-11,501.20737
1923-08-12,472.89056
1923-08-13,631.46466
1923-08-14,665.4448
1923-08-15,815.52386
1923-08-16,790.0387
1923-08-17,775.8803
1923-08-18,804.19714
1923-08-19,826.8506
1923-08-20,908.9693
1923-08-21,826.8506
1923-08-22,713.5834
1923-08-23,642.7914
1923-08-24,608.8112
1923-08-25,538.0192
1923-08-26,509.7024
1923-08-27,472.89056
1923-08-28,433.24704
1923-08-29,399.26688
1923-08-30,526.6925
1923-08-31,518.19745
1923-09-01,597.4845
1923-09-02,549.34595
1923-09-03,424.752
1923-09-04,385.1085
1923-09-05,370.95007
1923-09-06,356.7917
1923-09-07,342.63327
1923-09-08,314.31647
1923-09-09,300.15808
1923-09-10,294.49472
1923-09-11,275.80563
1923-09-12,275.80563
1923-09-13,282.03534
1923-09-14,282.03534
1923-09-15,269.57593
1923-09-16,246.073
1923-09-17,235.02943
1923-09-18,263.6294
1923-09-19,424.752
1923-09-20,1353.5431
1923-09-21,804.19714
1923-09-22,472.89056
1923-09-23,376.61343
1923-09-24,342.63327
1923-09-25,399.26688
1923-09-26,538.0192
1923-09-27,501.20737
1923-09-28,455.90048
1923-09-29,407.76193
1923-09-30,399.26688
1923-10-01,387.94016
1923-10-02,373.78177
1923-10-03,368.1184
1923-10-04,362.45505
1923-10-05,351.12833
1923-10-06,362.45505
1923-10-07,345.46497
1923-10-08,339.8016
1923-10-09,359.62335
1923-10-10,356.7917
1923-10-11,351.12833
1923-10-12,348.29663
1923-10-13,351.12833
1923-10-14,348.29663
1923-10-15,345.46497
1923-10-16,345.46497
1923-10-17,342.63327
1923-10-18,334.13824
1923-10-19,328.47488
1923-10-20,328.47488
1923-10-21,319.97983
1923-10-22,305.82144
1923-10-23,294.49472
1923-10-24,291.66302
1923-10-25,285.9997
1923-10-26,291.66302
1923-10-27,322.81152
1923-10-28,328.47488
1923-10-29,308.6531
1923-10-30,300.15808
1923-10-31,291.66302
1923-11-01,288.83136
1923-11-02,291.66302
1923-11-03,291.66302
1923-11-04,291.66302
1923-11-05,297.3264
1923-11-06,291.66302
1923-11-07,285.9997
1923-11-08,280.05316
1923-11-09,274.10663
1923-11-10,270.42545
1923-11-11,356.7917
1923-11-12,555.0093
1923-11-13,515.3658
1923-11-14,470.05887
1923-11-15,402.09857
1923-11-16,345.46497
1923-11-17,322.81152
1923-11-18,311.4848
1923-11-19,291.66302
1923-11-20,282.31848
1923-11-21,275.2393
1923-11-22,269.29276
1923-11-23,262.49673
1923-11-24,257.96603
1923-11-25,251.17001
1923-11-26,245.50665
1923-11-27,240.12646
1923-11-28,233.6136
1923-11-29,233.6136
1923-11-30,229.36607
1923-12-01,229.36607
1923-12-02,229.36607
1923-12-03,228.23341
1923-12-04,225.11856
1923-12-05,226.25124
1923-12-06,232.48093
1923-12-07,234.74628
1923-12-08,235.87894
1923-12-09,234.74628
1923-12-10,218.6057
1923-12-11,204.4473
1923-12-12,193.12057
1923-12-13,183.49286
1923-12-14,191.1384
1923-12-15,183.49286
1923-12-16,164.52061
1923-12-17,152.62755
1923-12-18,145.26518
1923-12-19,139.03549
1923-12-20,132.52263
1923-12-21,136.77014
1923-12-22,155.17607
1923-12-23,165.37012
1923-12-24,174.43149
1923-12-25,174.43149
1923-12-26,165.37012
1923-12-27,161.12259
1923-12-28,159.42358
1923-12-29,218.6057
1923-12-30,259.09872
1923-12-31,259.09872
1924-01-01,223.98589
1924-01-02,208.41165
1924-01-03,188.30672
1924-01-04,161.12259
1924-01-05,133.08896
1924-01-06,111.001854
1924-01-07,97.40979
1924-01-08,89.48109
1924-01-09,97.40979
1924-01-10,116.94839
1924-01-11,114.39987
1924-01-12,121.19591
1924-01-13,125.72659
1924-01-14,131.67313
1924-01-15,136.77014
1924-01-16,146.11469
1924-01-17,145.26518
1924-01-18,153.47705
1924-01-19,147.53053
1924-01-20,146.11469
1924-01-21,140.45132
1924-01-22,131.67313
1924-01-23,139.03549
1924-01-24,146.11469
1924-01-25,156.87508
1924-01-26,154.32655
1924-01-27,148.38004
1924-01-28,141.30083
1924-01-29,148.38004
1924-01-30,156.02557
1924-01-31,156.02557
1924-02-01,157.72458
1924-02-02,168.2018
1924-02-03,178.96217
1924-02-04,181.79385
1924-02-05,183.49286
1924-02-06,188.30672
1924-02-07,188.30672
1924-02-08,193.12057
1924-02-09,193.12057
1924-02-10,194.25325
1924-02-11,203.31462
1924-02-12,213.50867
1924-02-13,241.25914
1924-02-14,251.17001
1924-02-15,262.49673
1924-02-16,262.49673
1924-02-17,265.89474
1924-02-18,319.97983
1924-02-19,319.97983
1924-02-20,311.4848
1924-02-21,308.6531
1924-02-22,302.98975
1924-02-23,294.49472
1924-02-24,288.83136
1924-02-25,283.168
1924-02-26,291.66302
1924-02-27,319.97983
1924-02-28,319.97983
1924-02-29,311.4848
1924-03-01,285.9997
1924-03-02,276.37198
1924-03-03,285.9997
1924-03-04,288.83136
1924-03-05,283.168
1924-03-06,272.97394
1924-03-07,256.83337
1924-03-08,253.43536
1924-03-09,248.90468
1924-03-10,238.99379
1924-03-11,233.6136
1924-03-12,227.10074
1924-03-13,227.10074
1924-03-14,214.64134
1924-03-15,207.27898
1924-03-16,209.54433
1924-03-17,214.64134
1924-03-18,213.50867
1924-03-19,209.54433
1924-03-20,213.50867
1924-03-21,214.64134
1924-03-22,213.50867
1924-03-23,209.54433
1924-03-24,202.18195
1924-03-25,203.31462
1924-03-26,204.4473
1924-03-27,202.18195
1924-03-28,204.4473
1924-03-29,198.2176
1924-03-30,244.37398
1924-03-31,256.83337
1924-04-01,255.7007
1924-04-02,232.48093
1924-04-03,231.63142
1924-04-04,228.23341
1924-04-05,228.23341
1924-04-06,243.24132
1924-04-07,278.92047
1924-04-08,322.81152
1924-04-09,379.44513
1924-04-10,617.3062
1924-04-11,951.44446
1924-04-12,1090.1968
1924-04-13,1149.6621
1924-04-14,1166.6521
1924-04-15,1135.5037
1924-04-16,1135.5037
1924-04-17,1228.9491
1924-04-18,1260.0977
1924-04-19,1104.3552
1924-04-20,991.088
1924-04-21,883.48413
1924-04-22,795.7021
1924-04-23,770.217
1924-04-24,821.1872
1924-04-25,923.1277
1924-04-26,991.088
1924-04-27,1061.88
1924-04-28,1033.5632
1924-04-29,951.44446
1924-04-30,872.1574
1924-05-01,832.5139
1924-05-02,758.89026
1924-05-03,707.92
1924-05-04,696.59326
1924-05-05,730.5734
1924-05-06,872.1574
1924-05-07,1090.1968
1924-05-08,1197.8007
1924-05-09,1260.0977
1924-05-10,1277.0876
1924-05-11,1294.0778
1924-05-12,1328.0579
1924-05-13,1362.0381
1924-05-14,1396.0182
1924-05-15,1413.0083
1924-05-16,1483.8003
1924-05-17,1591.4042
1924-05-18,1648.0377
1924-05-19,1721.6615
1924-05-20,1738.6515
1924-05-21,1851.9187
1924-05-22,1851.9187
1924-05-23,1871.7405
1924-05-24,1832.0969
1924-05-25,1812.2751
1924-05-26,1738.6515
1924-05-27,1665.0278
1924-05-28,1608.3943
1924-05-29,1648.0377
1924-05-30,1665.0278
1924-05-31,1665.0278
1924-06-01,1554.5923
1924-06-02,1466.8102
1924-06-03,1345.048
1924-06-04,1260.0977
1924-06-05,1211.959
1924-06-06,1245.9392
1924-06-07,1379.0282
1924-06-08,1554.5923
1924-06-09,1738.6515
1924-06-10,1832.0969
1924-06-11,1755.6416
1924-06-12,1628.216
1924-06-13,1554.5923
1924-06-14,1574.4141
1924-06-15,1682.018
1924-06-16,1871.7405
1924-06-17,2024.6512
1924-06-18,2061.4631
1924-06-19,1985.0077
1924-06-20,1851.9187
1924-06-21,1682.018
1924-06-22,1517.7805
1924-06-23,1362.0381
1924-06-24,1260.0977
1924-06-25,1166.6521
1924-06-26,1104.3552
1924-06-27,1061.88
1924-06-28,1005.2464
1924-06-29,979.7613
1924-06-30,911.80096
1924-07-01,860.83075
1924-07-02,809.8605
1924-07-03,758.89026
1924-07-04,707.92
1924-07-05,651.2864
1924-07-06,605.9795
1924-07-07,574.83105
1924-07-08,543.68256
1924-07-09,515.3658
1924-07-10,504.03903
1924-07-11,515.3658
1924-07-12,583.32605
1924-07-13,574.83105
1924-07-14,555.0093
1924-07-15,532.35583
1924-07-16,475.72223
1924-07-17,436.0787
1924-07-18,402.09857
1924-07-19,379.44513
